Unnamed: 0,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Nom_Cognom,Nascuda_Espanya,Data de naixament,Edat
1,Clara,Sánchez Martínez,Espanya,Barcelona,18,3,1996,Dona,1315.65,Si,,Grup A,Clara Sánchez Martínez,Si,1996-03-18,29
2,Fatima,Fassi,Marroc,Rabat,6,11,2005,Altres,1513.05,Si,,Grup A,Fatima Fassi,No,2005-11-06,20
4,Toni,Sánchez García,Espanya,Barcelona,9,8,1999,Home,1095.15,No,1.0,Grup A,Toni Sánchez García,Si,1999-08-09,26
6,Carla,García,Espanya,València,24,12,1957,Dona,989.1,No,1.0,Grup A,Carla García,Si,1957-12-24,68
7,Marco,Rossi,Itàlia,Torí,3,11,2002,Altres,1568.7,No,1.0,Grup A,Marco Rossi,No,2002-11-03,23
8,Alessia,Rossi,Itàlia,Milà,6,12,1989,Dona,1434.3,No,1.0,Grup A,Alessia Rossi,No,1989-12-06,36
9,Toni,Martínez,Espanya,Barcelona,16,5,1964,Home,935.5500000000001,No,1.0,Grup A,Toni Martínez,Si,1964-05-16,61
10,Oriol,Sánchez,Espanya,Barcelona,27,7,1965,Home,1312.5,No,1.0,Grup A,Oriol Sánchez,Si,1965-07-27,60
12,Jean,Dubois,França,Marsella,16,12,1964,Home,1672.65,Si,,Grup A,Jean Dubois,No,1964-12-16,61
14,Eva,Castells,Espanya,Sevilla,3,5,1968,,1309.3500000000001,Si,,Grup A,Eva Castells,Si,1968-05-03,57
16,Camila,Hernández Ramírez,Mèxic,Guadalajara,17,12,1996,Dona,1228.5,Si,,Grup A,Camila Hernández Ramírez,No,1996-12-17,29
17,Núria,Castells,Espanya,Barcelona,2,7,2005,Dona,1411.2,Si,,Grup A,Núria Castells,Si,2005-07-02,20
21,Mia,Schneider Fischer,Alemanya,Berlín,22,10,1976,Altres,998.5500000000001,No,1.0,Grup A,Mia Schneider Fischer,No,1976-10-22,49
27,Eva,Castells,Espanya,Madrid,1,12,1965,Dona,922.95,No,1.0,Grup A,Eva Castells,Si,1965-12-01,60
28,Oriol,López Martínez,Espanya,Barcelona,25,6,1952,Home,1069.95,Si,,Grup A,Oriol López Martínez,Si,1952-06-25,73
30,Núria,Ferrer Romero,Espanya,València,6,2,2003,,1318.8,No,1.0,Grup A,Núria Ferrer Romero,Si,2003-02-06,23
33,Matías,Gómez Álvarez,Argentina,Buenos Aires,4,12,1955,Home,1378.65,No,1.0,Grup A,Matías Gómez Álvarez,No,1955-12-04,70
34,Jordi,Sánchez,Espanya,Bilbao,16,8,1962,Home,779.1,No,1.0,Grup A,Jordi Sánchez,Si,1962-08-16,63
36,Jordi,Romero,Espanya,Barcelona,27,8,1968,Home,848.4000000000001,No,1.0,Grup A,Jordi Romero,Si,1968-08-27,57
38,Carla,García,Espanya,Sevilla,17,5,1952,Dona,1011.1500000000001,Si,,Grup A,Carla García,Si,1952-05-17,73
40,Toni,López Sánchez,Espanya,Barcelona,25,2,1975,Home,1039.5,No,1.0,Grup A,Toni López Sánchez,Si,1975-02-25,50
41,Anna,Martínez Martínez,Espanya,Bilbao,26,9,1972,Dona,819.0,No,1.0,Grup A,Anna Martínez Martínez,Si,1972-09-26,53
43,Toni,Martínez,Espanya,Sevilla,24,7,1982,Home,1590.75,Si,,Grup A,Toni Martínez,Si,1982-07-24,43
49,Toni,Sánchez García,Espanya,Bilbao,28,2,2000,Home,1450.05,No,1.0,Grup A,Toni Sánchez García,Si,2000-02-28,25
50,Marta,López,Espanya,Sevilla,6,6,1954,Dona,1558.2,No,1.0,Grup A,Marta López,Si,1954-06-06,71
51,Joan,López,Espanya,Madrid,5,3,1957,Home,1015.35,No,1.0,Grup A,Joan López,Si,1957-03-05,68
52,Eva,Ferrer,Espanya,Madrid,27,1,1974,Dona,1051.05,No,1.0,Grup A,Eva Ferrer,Si,1974-01-27,52
53,Joan,López,Espanya,València,1,2,1952,Home,1577.1000000000001,No,1.0,Grup A,Joan López,Si,1952-02-01,73
59,Oriol,García,Espanya,València,12,6,2002,Home,1352.4,Si,,Grup A,Oriol García,Si,2002-06-12,23
61,Jordi,Sánchez,Espanya,València,19,6,1984,Home,1305.15,Si,,Grup A,Jordi Sánchez,Si,1984-06-19,41
65,Miguel,González,Mèxic,Ciutat de Mèxic,22,3,2002,Home,1607.55,No,1.0,Grup A,Miguel González,No,2002-03-22,23
67,Núria,Martínez,Espanya,Madrid,19,3,1986,Dona,1475.25,No,1.0,Grup A,Núria Martínez,Si,1986-03-19,39
69,Valentina,Torres Torres,Colòmbia,Medellín,24,7,1951,,1314.6000000000001,No,1.0,Grup A,Valentina Torres Torres,No,1951-07-24,74
72,Joan,Castells,Espanya,Barcelona,10,12,1975,Home,1750.3500000000001,Si,,Grup A,Joan Castells,Si,1975-12-10,50
73,Anna,Martínez Martínez,Espanya,Sevilla,10,4,1985,Dona,1399.65,No,1.0,Grup A,Anna Martínez Martínez,Si,1985-04-10,40
75,Michel,Moreau,França,Lió,2,5,1970,Home,850.5,No,1.0,Grup A,Michel Moreau,No,1970-05-02,55
77,Anna,Ferrer Sánchez,Espanya,Bilbao,21,10,1982,Dona,1389.15,No,1.0,Grup A,Anna Ferrer Sánchez,Si,1982-10-21,43
79,Clara,García,Espanya,Sevilla,10,3,1955,Dona,849.45,No,1.0,Grup A,Clara García,Si,1955-03-10,70
81,Valentina,Gutiérrez Castro,Colòmbia,Bogotà,2,1,2001,Altres,1117.2,No,1.0,Grup A,Valentina Gutiérrez Castro,No,2001-01-02,25
83,Arnau,Sánchez López,Espanya,Barcelona,28,6,1960,Home,1171.8,No,1.0,Grup A,Arnau Sánchez López,Si,1960-06-28,65
84,Daniela,Castro Castro,Colòmbia,Medellín,25,12,1980,Dona,1225.3500000000001,No,1.0,Grup A,Daniela Castro Castro,No,1980-12-25,45
85,Clara,Sánchez,Espanya,Bilbao,1,10,1965,Dona,857.85,Si,,Grup A,Clara Sánchez,Si,1965-10-01,60
89,Youssef,Bennani,Marroc,Casablanca,20,9,1957,Home,819.0,Si,,Grup A,Youssef Bennani,No,1957-09-20,68
90,Eva,Martínez,Espanya,Barcelona,11,9,1974,Dona,822.1500000000001,No,1.0,Grup A,Eva Martínez,Si,1974-09-11,51
91,Sophie,Taylor,Regne Unit,Londres,27,2,1983,Dona,1542.45,No,1.0,Grup A,Sophie Taylor,No,1983-02-27,42
92,Mohamed,Zahraoui,Marroc,Rabat,18,11,1950,Home,1570.8,No,1.0,Grup A,Mohamed Zahraoui,No,1950-11-18,75
93,Anna,Castells,Espanya,Bilbao,20,3,1987,Dona,1450.05,No,1.0,Grup A,Anna Castells,Si,1987-03-20,38
96,Joan,Romero Romero,Espanya,Barcelona,21,2,1999,Home,1620.15,Si,,Grup A,Joan Romero Romero,Si,1999-02-21,26
98,Anna,Sánchez,Espanya,Barcelona,17,7,1984,Altres,1509.9,Si,,Grup A,Anna Sánchez,Si,1984-07-17,41
100,Tiago,Ferreira,Portugal,Porto,22,11,1993,Home,1308.3,Si,,Grup A,Tiago Ferreira,No,1993-11-22,32
101,Eva,Romero,Espanya,València,16,4,1985,Dona,1130.8500000000001,Si,,Grup A,Eva Romero,Si,1985-04-16,40
103,Felipe,Torres,Colòmbia,Bogotà,19,3,1970,Home,1302.0,Si,,Grup A,Felipe Torres,No,1970-03-19,55
104,Laia,Martínez Ferrer,Espanya,Bilbao,19,10,1956,Dona,1030.05,Si,,Grup A,Laia Martínez Ferrer,Si,1956-10-19,69
105,Marta,Sánchez,Espanya,Bilbao,1,9,1972,Dona,1211.7,No,1.0,Grup A,Marta Sánchez,Si,1972-09-01,53
107,Toni,Romero,Espanya,València,26,11,1991,Home,1445.8500000000001,Si,,Grup A,Toni Romero,Si,1991-11-26,34
108,Núria,Ferrer,Espanya,Barcelona,18,4,1957,,1465.8,Si,,Grup A,Núria Ferrer,Si,1957-04-18,68
110,Marc,Ferrer Castells,Espanya,Barcelona,25,8,2002,Home,1755.6000000000001,No,1.0,Grup A,Marc Ferrer Castells,Si,2002-08-25,23
117,Toni,Ferrer,Espanya,Madrid,19,8,1967,Home,1641.15,No,1.0,Grup A,Toni Ferrer,Si,1967-08-19,58
118,Pau,Ferrer,Espanya,Bilbao,6,8,1964,Home,1213.8,No,1.0,Grup A,Pau Ferrer,Si,1964-08-06,61
120,Marc,García,Espanya,Barcelona,23,7,1998,Home,1408.05,Si,,Grup A,Marc García,Si,1998-07-23,27
122,Joan,Sánchez,Espanya,Sevilla,5,8,1988,Home,1125.6000000000001,Si,,Grup A,Joan Sánchez,Si,1988-08-05,37
123,Clara,Castells García,Espanya,Bilbao,11,1,1964,Dona,1155.0,Si,,Grup A,Clara Castells García,Si,1964-01-11,62
125,Oriol,Martínez,Espanya,Madrid,18,1,1994,Home,1580.25,No,1.0,Grup A,Oriol Martínez,Si,1994-01-18,32
126,Anna,Müller,Alemanya,Munic,18,3,1956,Dona,1344.0,No,1.0,Grup A,Anna Müller,No,1956-03-18,69
127,Núria,Castells Sánchez,Espanya,Sevilla,26,3,1975,Dona,698.25,No,1.0,Grup A,Núria Castells Sánchez,Si,1975-03-26,50
128,Pau,Ferrer,Espanya,Sevilla,1,1,1999,Home,1614.9,No,1.0,Grup A,Pau Ferrer,Si,1999-01-01,27
129,Tiago,Silva Pereira,Portugal,Porto,24,3,1980,Home,1502.55,No,1.0,Grup A,Tiago Silva Pereira,No,1980-03-24,45
130,Marc,García Ferrer,Espanya,València,16,8,1998,Home,1252.65,No,1.0,Grup A,Marc García Ferrer,Si,1998-08-16,27
132,Pau,Castells,Espanya,Sevilla,23,3,1978,Home,859.95,No,1.0,Grup A,Pau Castells,Si,1978-03-23,47
133,Jean,Lefevre,França,Marsella,8,10,1959,Home,819.0,No,1.0,Grup A,Jean Lefevre,No,1959-10-08,66
136,Joan,García,Espanya,Barcelona,24,12,1957,Home,1635.9,Si,,Grup A,Joan García,Si,1957-12-24,68
140,Pau,Romero Castells,Espanya,Madrid,14,7,1996,Home,1629.6000000000001,Si,,Grup A,Pau Romero Castells,Si,1996-07-14,29
