Unnamed: 0,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Nom_Cognom,Nascuda_Espanya,Data de naixament,Edat
0,Inês,Ferreira Silva,Portugal,Lisboa,25,2,1953,Dona,1184.04,No,1.0,Grup B,Inês Ferreira Silva,No,1953-02-25,72
3,Khadija,Bennani Bennani,Marroc,Rabat,20,1,1995,Dona,2012.0399999999997,No,1.0,Grup B,Khadija Bennani Bennani,No,1995-01-20,31
13,Toni,Castells Romero,Espanya,Barcelona,13,4,1961,Home,1488.33,No,1.0,Grup B,Toni Castells Romero,Si,1961-04-13,64
18,Núria,García López,Espanya,Madrid,8,6,1969,Dona,1422.09,No,1.0,Grup B,Núria García López,Si,1969-06-08,56
20,Toni,Castells Martínez,Espanya,Barcelona,10,1,1981,Home,2175.5699999999997,Si,,Grup B,Toni Castells Martínez,Si,1981-01-10,45
24,Chloé,Lefevre,França,Marsella,10,9,1973,Dona,1967.5349999999999,Si,,Grup B,Chloé Lefevre,No,1973-09-10,52
26,Marc,Romero Martínez,Espanya,Bilbao,4,7,1993,Home,2097.9449999999997,Si,,Grup B,Marc Romero Martínez,Si,1993-07-04,32
31,Oriol,López Ferrer,Espanya,Barcelona,3,11,1969,Home,1550.4299999999998,Si,,Grup B,Oriol López Ferrer,Si,1969-11-03,56
32,Toni,Martínez Castells,Espanya,Sevilla,20,4,1952,Altres,2203.515,No,1.0,Grup B,Toni Martínez Castells,Si,1952-04-20,73
35,Isla,Jones,Regne Unit,Manchester,26,6,1985,Dona,1461.4199999999998,Si,,Grup B,Isla Jones,No,1985-06-26,40
37,Eva,Ferrer Martínez,Espanya,Sevilla,4,5,1960,Dona,1470.735,No,1.0,Grup B,Eva Ferrer Martínez,Si,1960-05-04,65
39,Marc,Ferrer Ferrer,Espanya,Bilbao,20,3,1974,Home,1604.2499999999998,Si,,Grup B,Marc Ferrer Ferrer,Si,1974-03-20,51
44,Pau,Martínez,Espanya,Madrid,17,8,1999,Home,2039.985,No,1.0,Grup B,Pau Martínez,Si,1999-08-17,26
45,Giulia,Conti,Itàlia,Roma,8,7,1998,Dona,2036.8799999999999,Si,,Grup B,Giulia Conti,No,1998-07-08,27
46,Anna,Sánchez,Espanya,Sevilla,21,10,1955,Dona,1349.6399999999999,No,1.0,Grup B,Anna Sánchez,Si,1955-10-21,70
47,Pau,Ferrer,Espanya,Bilbao,25,4,1957,Home,1365.165,Si,,Grup B,Pau Ferrer,Si,1957-04-25,68
54,Eva,López,Espanya,Bilbao,16,12,1974,Dona,2031.705,No,1.0,Grup B,Eva López,Si,1974-12-16,51
58,Andrés,González,Mèxic,Guadalajara,26,2,1992,Home,2358.765,Si,,Grup B,Andrés González,No,1992-02-26,33
62,Clara,Sánchez López,Espanya,València,27,7,1955,Dona,2083.455,Si,,Grup B,Clara Sánchez López,Si,1955-07-27,70
63,Anna,Castells Romero,Espanya,València,25,8,1978,Dona,1730.5199999999998,No,1.0,Grup B,Anna Castells Romero,Si,1978-08-25,47
64,Eva,Sánchez,Espanya,Bilbao,10,1,1977,Dona,1953.0449999999998,No,1.0,Grup B,Eva Sánchez,Si,1977-01-10,49
66,Joan,Ferrer,Espanya,Bilbao,13,11,1994,Home,1574.235,No,1.0,Grup B,Joan Ferrer,Si,1994-11-13,31
76,Anna,Sánchez García,Espanya,Sevilla,13,7,1993,Dona,1502.82,No,1.0,Grup B,Anna Sánchez García,Si,1993-07-13,32
78,Khadija,Fassi,Marroc,Rabat,10,5,1970,Dona,1471.77,No,1.0,Grup B,Khadija Fassi,No,1970-05-10,55
86,Marta,Romero,Espanya,València,25,11,2002,Dona,1302.03,No,1.0,Grup B,Marta Romero,Si,2002-11-25,23
95,Núria,Romero,Espanya,Madrid,26,10,1993,Dona,1399.32,Si,,Grup B,Núria Romero,Si,1993-10-26,32
97,Arnau,García,Espanya,València,2,1,1954,Home,2200.41,No,1.0,Grup B,Arnau García,Si,1954-01-02,72
111,Núria,López,Espanya,Bilbao,1,1,1973,Dona,1725.3449999999998,Si,,Grup B,Núria López,Si,1973-01-01,53
114,Toni,Castells,Espanya,València,1,4,1963,Home,1825.7399999999998,Si,,Grup B,Toni Castells,Si,1963-04-01,62
121,Gabriela,González,Mèxic,Ciutat de Mèxic,17,6,1955,Dona,1668.4199999999998,Si,,Grup B,Gabriela González,No,1955-06-17,70
131,Pau,Sánchez,Espanya,Barcelona,13,3,1962,Home,1524.5549999999998,No,1.0,Grup B,Pau Sánchez,Si,1962-03-13,63
134,Laia,Sánchez Castells,Espanya,Barcelona,21,11,1970,Dona,2128.995,Si,,Grup B,Laia Sánchez Castells,Si,1970-11-21,55
135,Toni,Castells,Espanya,Bilbao,7,6,1990,Home,1732.59,No,1.0,Grup B,Toni Castells,Si,1990-06-07,35
138,Chloé,Girard,França,Marsella,17,4,1977,Dona,2054.475,Si,,Grup B,Chloé Girard,No,1977-04-17,48
139,Anna,Castells Martínez,Espanya,València,3,4,1991,Dona,1463.4899999999998,No,1.0,Grup B,Anna Castells Martínez,Si,1991-04-03,34
154,Laura,Schneider Fischer,Alemanya,Berlín,2,2,1958,Dona,1830.915,Si,,Grup B,Laura Schneider Fischer,No,1958-02-02,67
156,Oriol,López,Espanya,València,27,6,2002,Home,1353.78,No,1.0,Grup B,Oriol López,Si,2002-06-27,23
157,Núria,García Ferrer,Espanya,Sevilla,17,6,1957,Altres,1283.3999999999999,No,1.0,Grup B,Núria García Ferrer,Si,1957-06-17,68
159,Daniel,Gutiérrez Castro,Colòmbia,Medellín,4,5,1976,Home,1506.9599999999998,No,1.0,Grup B,Daniel Gutiérrez Castro,No,1976-05-04,49
161,Jordi,Ferrer,Espanya,València,21,6,1967,Home,1376.55,Si,,Grup B,Jordi Ferrer,Si,1967-06-21,58
165,Pau,López Martínez,Espanya,Bilbao,22,5,1967,Home,2199.375,Si,,Grup B,Pau López Martínez,Si,1967-05-22,58
166,Joan,Romero,Espanya,Bilbao,15,11,1987,Home,1581.4799999999998,No,1.0,Grup B,Joan Romero,Si,1987-11-15,38
167,Oriol,Sánchez Sánchez,Espanya,Bilbao,17,3,2002,Home,1878.5249999999999,Si,,Grup B,Oriol Sánchez Sánchez,Si,2002-03-17,23
170,Marta,Castells Ferrer,Espanya,Sevilla,15,3,1981,Dona,1937.5199999999998,Si,,Grup B,Marta Castells Ferrer,Si,1981-03-15,44
172,Sofia,Oliveira,Portugal,Porto,5,7,1952,Dona,1462.455,No,1.0,Grup B,Sofia Oliveira,No,1952-07-05,73
175,Eva,Martínez,Espanya,Madrid,19,10,1974,,2085.5249999999996,No,1.0,Grup B,Eva Martínez,Si,1974-10-19,51
176,Toni,García,Espanya,Bilbao,20,9,1990,Home,1757.4299999999998,No,1.0,Grup B,Toni García,Si,1990-09-20,35
178,Oriol,Sánchez Martínez,Espanya,Sevilla,5,1,1981,Home,2008.935,No,1.0,Grup B,Oriol Sánchez Martínez,Si,1981-01-05,45
179,Anna,Ferrer,Espanya,València,6,10,1984,Dona,1584.5849999999998,Si,,Grup B,Anna Ferrer,Si,1984-10-06,41
183,Matías,Gómez Gómez,Argentina,Còrdova,18,8,2002,Home,2152.7999999999997,Si,,Grup B,Matías Gómez Gómez,No,2002-08-18,23
184,Jean,Girard Moreau,França,París,26,9,1991,,1628.0549999999998,Si,,Grup B,Jean Girard Moreau,No,1991-09-26,34
187,Pau,Martínez,Espanya,Madrid,14,2,1959,Home,2173.5,No,1.0,Grup B,Pau Martínez,Si,1959-02-14,66
191,Eva,Romero Ferrer,Espanya,València,7,12,1965,Dona,1926.1349999999998,No,1.0,Grup B,Eva Romero Ferrer,Si,1965-12-07,60
193,Eva,Castells,Espanya,Madrid,9,7,1956,Dona,1727.415,Si,,Grup B,Eva Castells,Si,1956-07-09,69
195,Fatima,Fassi,Marroc,Casablanca,18,3,1958,Dona,1194.3899999999999,No,1.0,Grup B,Fatima Fassi,No,1958-03-18,67
196,Jordi,Ferrer,Espanya,Sevilla,15,2,1958,Home,1859.8949999999998,No,1.0,Grup B,Jordi Ferrer,Si,1958-02-15,67
197,Arnau,Sánchez,Espanya,Sevilla,21,10,1990,Home,2224.2149999999997,No,1.0,Grup B,Arnau Sánchez,Si,1990-10-21,35
200,Marta,Romero García,Espanya,Madrid,11,5,1973,Dona,1996.5149999999999,No,1.0,Grup B,Marta Romero García,Si,1973-05-11,52
201,Marta,Romero,Espanya,Sevilla,27,4,1976,Dona,1820.5649999999998,No,1.0,Grup B,Marta Romero,Si,1976-04-27,49
202,Toni,Romero,Espanya,València,19,1,1974,Home,1501.7849999999999,No,1.0,Grup B,Toni Romero,Si,1974-01-19,52
206,Arnau,Romero Romero,Espanya,València,8,10,1968,Home,1874.3849999999998,No,1.0,Grup B,Arnau Romero Romero,Si,1968-10-08,57
210,Toni,Sánchez,Espanya,Barcelona,1,1,1987,Home,1545.2549999999999,No,1.0,Grup B,Toni Sánchez,Si,1987-01-01,39
212,Jordi,Ferrer,Espanya,Sevilla,12,7,2003,Home,1462.455,No,1.0,Grup B,Jordi Ferrer,Si,2003-07-12,22
219,Anna,Sánchez,Espanya,València,25,2,1981,Dona,1242.0,No,1.0,Grup B,Anna Sánchez,Si,1981-02-25,44
221,Oriol,Ferrer Romero,Espanya,Madrid,9,2,1985,Home,2038.9499999999998,No,1.0,Grup B,Oriol Ferrer Romero,Si,1985-02-09,40
222,Sophie,Smith,Regne Unit,Manchester,8,1,1957,Dona,1297.8899999999999,Si,,Grup B,Sophie Smith,No,1957-01-08,69
224,Lea,Schneider Schneider,Alemanya,Berlín,23,10,2005,Dona,2083.455,No,1.0,Grup B,Lea Schneider Schneider,No,2005-10-23,20
232,José,González Ramírez,Mèxic,Ciutat de Mèxic,2,3,1955,Home,1735.695,No,1.0,Grup B,José González Ramírez,No,1955-03-02,70
244,Sara,Gutiérrez,Colòmbia,Bogotà,26,2,1970,Dona,1959.2549999999999,No,1.0,Grup B,Sara Gutiérrez,No,1970-02-26,55
245,Eva,García,Espanya,Bilbao,18,10,1962,,2209.725,No,1.0,Grup B,Eva García,Si,1962-10-18,63
249,Jordi,Romero García,Espanya,Sevilla,6,8,2000,Home,2041.0199999999998,Si,,Grup B,Jordi Romero García,Si,2000-08-06,25
251,Emily,Jones,Regne Unit,Londres,15,11,1969,Dona,1318.59,No,1.0,Grup B,Emily Jones,No,1969-11-15,56
256,Joan,Romero Sánchez,Espanya,Bilbao,24,7,1951,Home,1545.2549999999999,Si,,Grup B,Joan Romero Sánchez,Si,1951-07-24,74
258,Joan,Romero Martínez,Espanya,Bilbao,19,11,1954,Home,2164.185,No,1.0,Grup B,Joan Romero Martínez,Si,1954-11-19,71
260,Joan,Sánchez,Espanya,València,9,8,1997,Home,2383.605,Si,,Grup B,Joan Sánchez,Si,1997-08-09,28
263,Mohamed,El Amrani Zahraoui,Marroc,Casablanca,12,8,1984,Altres,1599.0749999999998,Si,,Grup B,Mohamed El Amrani Zahraoui,No,1984-08-12,41
267,Pau,Ferrer,Espanya,Barcelona,15,3,1991,Home,1555.6049999999998,Si,,Grup B,Pau Ferrer,Si,1991-03-15,34
268,Toni,Ferrer,Espanya,Bilbao,24,2,1964,Altres,2214.8999999999996,No,1.0,Grup B,Toni Ferrer,Si,1964-02-24,61
269,Oriol,Castells,Espanya,Bilbao,17,3,1965,Home,2299.77,No,1.0,Grup B,Oriol Castells,Si,1965-03-17,60
270,Marco,Conti Rossi,Itàlia,Roma,4,1,1986,Home,1500.7499999999998,No,1.0,Grup B,Marco Conti Rossi,No,1986-01-04,40
278,Mia,Fischer,Alemanya,Berlín,11,8,1950,Dona,1611.495,Si,,Grup B,Mia Fischer,No,1950-08-11,75
287,Toni,Castells Ferrer,Espanya,Barcelona,15,11,1974,,1904.3999999999999,No,1.0,Grup B,Toni Castells Ferrer,Si,1974-11-15,51
290,Marc,Castells Sánchez,Espanya,Barcelona,24,6,2000,Home,1446.9299999999998,No,1.0,Grup B,Marc Castells Sánchez,Si,2000-06-24,25
291,Laia,Sánchez,Espanya,Sevilla,3,3,1982,Dona,1914.7499999999998,Si,,Grup B,Laia Sánchez,Si,1982-03-03,43
292,George,Jones Taylor,Regne Unit,Londres,27,5,2000,,2173.5,No,1.0,Grup B,George Jones Taylor,No,2000-05-27,25
294,Núria,Castells,Espanya,València,25,12,1992,Dona,2093.805,Si,,Grup B,Núria Castells,Si,1992-12-25,33
298,Luisa,González Cruz,Mèxic,Ciutat de Mèxic,20,11,1990,Dona,1243.0349999999999,Si,,Grup B,Luisa González Cruz,No,1990-11-20,35
