Unnamed: 0,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Nom_Cognom,Nascuda_Espanya,Data de naixament,Edat
11,Marta,Martínez Martínez,Espanya,Bilbao,23,8,1995,,2047.14,No,1.0,Grup C,Marta Martínez Martínez,Si,1995-08-23,30
19,Joan,López,Espanya,Sevilla,13,10,1964,Home,2657.1,Si,,Grup C,Joan López,Si,1964-10-13,61
23,Miguel,Oliveira Pereira,Portugal,Lisboa,19,9,1978,Home,2293.98,No,1.0,Grup C,Miguel Oliveira Pereira,No,1978-09-19,47
29,Tomás,Rodríguez Fernández,Argentina,Còrdova,20,4,1986,Home,2635.68,Si,,Grup C,Tomás Rodríguez Fernández,No,1986-04-20,39
42,Núria,Castells,Espanya,Bilbao,14,11,1960,,2856.0,Si,,Grup C,Núria Castells,Si,1960-11-14,65
48,Tomás,Fernández Álvarez,Argentina,Còrdova,8,9,1958,Home,2530.62,No,1.0,Grup C,Tomás Fernández Álvarez,No,1958-09-08,67
55,Laia,López,Espanya,Madrid,11,7,1964,,2104.26,Si,,Grup C,Laia López,Si,1964-07-11,61
56,Pau,Sánchez,Espanya,Madrid,8,10,2001,Home,2132.82,No,1.0,Grup C,Pau Sánchez,Si,2001-10-08,24
57,Toni,Martínez,Espanya,València,12,9,1992,Home,2599.98,Si,,Grup C,Toni Martínez,Si,1992-09-12,33
60,José,Ramírez Hernández,Mèxic,Guadalajara,11,6,1966,Home,1967.58,No,1.0,Grup C,José Ramírez Hernández,No,1966-06-11,59
74,Marta,Ferrer López,Espanya,Sevilla,19,7,1969,,2471.46,No,1.0,Grup C,Marta Ferrer López,Si,1969-07-19,56
82,Marc,García,Espanya,Madrid,19,10,1955,Home,2219.52,Si,,Grup C,Marc García,Si,1955-10-19,70
88,Marc,Sánchez López,Espanya,Bilbao,6,8,1990,Home,2026.74,No,1.0,Grup C,Marc Sánchez López,Si,1990-08-06,35
94,Pau,Romero Romero,Espanya,Madrid,6,12,1988,Home,2776.44,No,1.0,Grup C,Pau Romero Romero,Si,1988-12-06,37
102,Sophie,Brown,Regne Unit,Londres,12,5,1956,Dona,1562.64,No,1.0,Grup C,Sophie Brown,No,1956-05-12,69
106,Pau,López Martínez,Espanya,València,1,1,1988,Home,2861.1,No,1.0,Grup C,Pau López Martínez,Si,1988-01-01,38
109,Toni,Ferrer,Espanya,Barcelona,12,4,1985,Home,2691.78,No,1.0,Grup C,Toni Ferrer,Si,1985-04-12,40
112,Toni,García,Espanya,Bilbao,28,10,1998,Home,2768.28,Si,,Grup C,Toni García,Si,1998-10-28,27
113,Olivia,Jones Brown,Regne Unit,Londres,20,1,1965,Altres,2509.2,Si,,Grup C,Olivia Jones Brown,No,1965-01-20,61
116,Arnau,Castells Castells,Espanya,Madrid,7,11,1963,Home,2200.14,No,1.0,Grup C,Arnau Castells Castells,Si,1963-11-07,62
119,Arnau,Romero,Espanya,Madrid,26,6,1985,Home,2790.7200000000003,No,1.0,Grup C,Arnau Romero,Si,1985-06-26,40
124,Marta,Romero,Espanya,València,3,12,1958,Dona,1562.64,No,1.0,Grup C,Marta Romero,Si,1958-12-03,67
137,Valentina,Castro,Colòmbia,Bogotà,2,9,1951,Dona,2648.94,Si,,Grup C,Valentina Castro,No,1951-09-02,74
146,Eva,Castells García,Espanya,Bilbao,18,3,1993,Dona,2680.56,No,1.0,Grup C,Eva Castells García,Si,1993-03-18,32
148,Clara,Romero,Espanya,Madrid,5,12,1986,Dona,2593.86,No,1.0,Grup C,Clara Romero,Si,1986-12-05,39
151,Gabriela,Ramírez González,Mèxic,Ciutat de Mèxic,7,5,1980,Dona,2403.12,No,1.0,Grup C,Gabriela Ramírez González,No,1980-05-07,45
